condition,task_id,task_name,category,input_type,output_type,parse_transition,score_transition,path_transition,fp16_parse,candidate_parse,fp16_score,candidate_score,score_delta,fp16_path_score,candidate_path_score,path_delta,fp16_stop_reason,candidate_stop_reason,fp16_generated_tokens,candidate_generated_tokens,automatic_failure_type,automatic_failure_detail,payload_preview,manual_failure_type,manual_notes
KIVI-4,001734,Text to XML,T-generation,Text,XML,fp16_only,regressed,regressed,1,0,0.65,0.0,-0.65,0.5625,0.0,-0.5625,end_code,end_code,368,222,extra_content_or_multiple_roots,"junk after document element: line 25, column 1",<creature>\n <name></name>\n <species></species>\n <origin>\n <galaxy></galaxy>\n <planet></planet>\n </origin>\n <appearance>\n <height></height>\n <color></color>\n <appendages>\n <count></count>\n <type></type>\n </appendages>\n </appearance>\n <traits>\n <trait>\n <type></type>\n <description></description>\n <rarity></rarity>\n </trait>\n ...\n </traits>\n </creature>\n <abilities>\n <ability>\n <name></name>\n <level></level>\n <cooldown></cooldown>\n </ability>\n ...\n </abilities>\n <discovery>\n <date></date>\n <discove,,
KIVI-4,020510,CSV to JSON,T-conversion,CSV,JSON,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,368,362,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n[{\\n  ""planet_name"": ""Kepler-452b"",\\n  ""system"": {\\n    ""star_name"": ""Kepler-452"",\\n    ""distance_from_earth_ly"": 1400,\\n    ""discovery"": {\\n      ""year"": 2015,\\n      ""method"": ""Transit"",\\n      ""telescope"": ""Kepler Space Telescope"",\\n      ""team"": [{\\n        ""name"": ""Dr. Jane Smith"",\\n        ""role"": ""Lead Scientist"",\\n      }, {\\n        ""name"": ""Dr. Alan Brown"",\\n        ""role"": ""Data Analyst""\\n      }]\\n    }\\n  },\\n  ""physical_characteristics"": {\\n    ""mass_earths"": 5.0,\\n    ""radius_ea",,
KIVI-4,020516,CSV to JSON,T-conversion,CSV,JSON,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,636,1071,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n[{\\n  ""planet_name"": ""Aurelia"",\\n  ""system"": {\\n    ""star_name"": ""Helios"",\\n    ""distance_from_earth_ly"": 42.5,\\n    ""discovery"": {\\n      ""year"": 2087,\\n      ""method"": ""Transit""\\n    },\\n    ""atmosphere"": {\\n      ""composition"": [{\\n        ""gas"": ""Nitrogen"",\\n        ""percentage"": 78\\n      }, {\\n        ""gas"": ""Oxygen"",\\n        ""percentage"": 21\\n      }, {\\n        ""gas"": ""Argon"",\\n        ""percentage"": 1\\n      }],\\n      ""pressure_atm"": 1.02,\\n      ""surface_temperature_c"": 22\\n    },\\n",,
KIVI-4,020541,CSV to JSON,T-conversion,CSV,JSON,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,588,626,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n[\r\n  [""animal_id"", ""species"", ""profile"", ""enclosure""],\r\n  [""A001"", ""Red Panda"", {\\n    ""name"": ""Mei Lin"",\r\n    ""age"": 4,\r\n    ""gender"": ""Female"",\r\n    ""medical_history"": [{\\n      ""condition"": ""Dental Issues"",\r\n      ""year_diagnosed"": 2022,\r\n      ""treatment"": ""Dental cleaning""\r\n    }, {\\n      ""condition"": ""Allergy"",\r\n      ""year_diagnosed"": 2023,\r\n      ""treatment"": ""Antihistamines""\r\n    }]\r\n  }, {\\n    ""zone"": ""North"",\r\n    ""habitat_type"": ""Temperate Forest"",\r\n    ""companions"": [{""\n      ""n",,
KIVI-4,170506,XML to JSON,T-conversion,XML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,294,312,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\n\\n  ""planetarium"": {\n\\n    ""exhibits"": [\n\\n      {\n\\n        ""name"": ""Solar System Wonders\"",\n\\n        ""planets"": [\n\\n          {\n\\n            ""planetName"": ""Jupiter\"",\n\\n            ""moons"": [\n\\n              ""Io\"",\n\\n              ""Europa""\n\\n            ]\n\\n          },\n\\n          {\n\\n            ""planetName"": ""Saturn\"",\n\\n            ""moons"": [{\""Titan""}]\n\\n          }\n\\n        ]\n\\n      },\n\\n      {\n\\n        ""name"": ""Exoplanet Exploration\"",\n\\n        ""planets"":",,
KIVI-4,170517,XML to JSON,T-conversion,XML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,260,475,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\n\t""museum"": {\n\t\t""name"": ""Imaginary Insect Museum"",\rn\t\t""location"": {\n\t\t\t""city"": ""Flutterville"",\rn\t\t\t""country"": ""Buglandia""\n\t\t},{\n\t\t""exhibits"": [\n\t\t\t{\n\t\t\t\t""title"": ""Glowworm Gala"",\rn\t\t\t\t""year"": 2022,\n\t\t\t\t""artifacts"": [\n\t\t\t\t\t{\n\t\t\t\t\t\t""name"": ""Luminous Larva"",\rn\t\t\t\t\t\t""type"": ""Specimen""\n\t\t\t\t\t},\n\t\t\t\t\t{\n\t\t\t\t\t\t""name"": ""Bioluminescent Moss"",\rn\t\t\t\t\t\t""type"": ""Habitat""\n\t\t\t\t\t}\n\t\t\t\t]\n\t\t\t},\n\t\t\t{\n\t\t\t\t""tit",,
KIVI-4,170528,XML to JSON,T-conversion,XML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,179,215,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\n\\n  ""museum"": {\n\\n    ""name"": ""Imaginarium of Oddities"",\rn\\n    ""location"": {\n\\n      ""city"": ""Whimsyville"",\rn\\n      ""country"": ""Fantasia""\n\\n    },\n\\n    ""exhibits"": [\n\\n      {\n\\n        ""title"": ""The Clockwork Fish"",\rn\\n        ""artist"": ""Dr. Cogsworth"",\rn\\n        ""year"": 1899\n\\n      },\n\\n      {\n\\n        ""title"": ""Invisible Portrait"",\rn\\n        ""artist"": ""Luna Mirage"",\rn\\n        ""year"": 2022\n\\n      }\n\\n    ]\n\\n  }\n\\n}\n\",,
KIVI-4,170547,XML to JSON,T-conversion,XML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,255,457,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\n\t""museum"": {\n\t\t""name"": ""Imaginary Oddities Museum"",\rn\t\t""exhibits"": [\n\t\t\t{\n\t\t\t\t""title"": ""Time-Traveling Teapots"",\rn\t\t\t\t""artifacts"": [\n\t\t\t\t\t{\n\t\t\t\t\t\t""artifactName"": ""Victorian Steam Kettle"",\rn\t\t\t\t\t\t""yearDiscovered"": 1897\n\t\t\t\t\t}, {\n\t\t\t\t\t\t""artifactName"": ""Quantum Mug"",\rn\t\t\t\t\t\t""yearDiscovered"": 2042\n\t\t\t\t\t}\n\t\t\t\t]\n\t\t\t}, {\n\t\t\t\t""title"": ""Invisible Instruments"",\rn\t\t\t\t""artifacts"": [\n\t\t\t\t\t{\n\t\t\t\t\t\t""artifactName""",,
KIVI-4,180534,YAML to JSON,T-conversion,YAML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,436,434,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\\n  ""planet"": {\\n    ""name"": ""Zephyron"",\r\n    ""atmosphere"": {\\n      ""composition"": ""Oxygen-Nitrogen-Argon"",\r\n      ""pressure"": 1.2,\r\n      ""layers"": [{\\n        ""name"": ""Troposphere"",\r\n        ""altitude_range_km"": [0, 15]\\n      }, {\\n        ""name"": ""Stratosphere"",\r\n        ""altitude_range_km"": [15, 50]\\n      }]\\n    },\\n    ""moons"": [{\\n      ""name"": ""Lira"",\r\n      ""diameter_km"": 3200,\\n      ""features"": [{""\n          ""type"": ""feature"",\r\n          ""name"": ""Ice geysers""},\\n          {""\n   ",,
KIVI-4,051826,JSON to YAML,T-conversion,JSON,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,257,279,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 7:     galaxy: &galaxy\           ^",\\ngalaxy: &galaxy\\n  name: Andromeda Fantastica\\n  type: Spiral\\n  distance_light_years: 2540000\\n  discovery:\\n    year: 964\\n    by: Abd al-Rahman al-Sufi\\n  stars:\\n    count: 1000000000000\\n    types: - Red Dwarf\\n          - Yellow Dwarf\\n          - Blue Giant\\n          - White Dwarf\\n  black_holes:\\n    supermassive:\\n      mass_solar: 140000000\\n      spin: 0.98\\n    stellar:\\n    - mass_solar: 12\\n      location: Sector 3-G\\n    - mass_solar: 8\\n      location: Sector 7-Q\\n  notable_ev,,
